id;Source;Target;Type;label;timeset;weight
1550;1285;858;Directed;;;1.0
1551;468;81;Directed;;;1.0
1552;416;411;Directed;;;1.0
1553;416;417;Directed;;;1.0
1554;126;125;Directed;;;1.0
1555;126;127;Directed;;;1.0
1556;288;289;Directed;;;1.0
1557;288;290;Directed;;;1.0
1558;288;291;Directed;;;1.0
1559;288;292;Directed;;;1.0
1560;288;293;Directed;;;1.0
1561;407;408;Directed;;;1.0
1562;407;409;Directed;;;1.0
1563;407;306;Directed;;;1.0
1564;473;474;Directed;;;1.0
1565;473;475;Directed;;;1.0
1566;473;114;Directed;;;1.0
1567;473;476;Directed;;;1.0
1568;473;477;Directed;;;1.0
1569;473;478;Directed;;;1.0
1570;473;479;Directed;;;1.0
1571;282;607;Directed;;;1.0
1572;686;110;Directed;;;1.0
1573;575;576;Directed;;;1.0
1574;575;577;Directed;;;1.0
1575;575;574;Directed;;;1.0
1576;575;578;Directed;;;1.0
1577;575;579;Directed;;;1.0
1578;199;114;Directed;;;1.0
1579;199;200;Directed;;;1.0
1580;199;201;Directed;;;1.0
1581;199;117;Directed;;;1.0
1582;199;384;Directed;;;1.0
1583;199;197;Directed;;;1.0
1584;199;868;Directed;;;1.0
1585;199;364;Directed;;;1.0
1586;112;113;Directed;;;1.0
1587;112;114;Directed;;;1.0
1588;112;115;Directed;;;1.0
1589;112;116;Directed;;;1.0
1590;112;117;Directed;;;1.0
1591;112;118;Directed;;;1.0
1592;113;112;Directed;;;1.0
1593;113;114;Directed;;;1.0
1594;113;115;Directed;;;1.0
1595;113;116;Directed;;;1.0
1596;113;117;Directed;;;1.0
1597;113;118;Directed;;;1.0
1598;62;63;Directed;;;1.0
1599;923;815;Directed;;;1.0
1600;923;924;Directed;;;1.0
1601;923;925;Directed;;;1.0
1602;923;634;Directed;;;1.0
1603;542;48;Directed;;;1.0
1604;466;120;Directed;;;1.0
1605;466;467;Directed;;;1.0
1606;466;239;Directed;;;1.0
1607;77;55;Directed;;;1.0
